,Venue id,Rating
0,4bb6b9446edc76b0d771311c,6.0
1,57fd24f6cd1083addfd77bf9,0.0
2,5411f741498e9ebd5e35d8bd,0.0
3,4de0403ed4c040523ea079f4,0.0
4,4b1711a6f964a520cbc123e3,7.1
5,4e261f261f6eb1ae13930699,7.0
6,4c27da423492a593158cb628,6.6
7,555d2742498e3524508bc7c6,0.0
8,4c9d376b8afca09392b8f415,0.0
9,4b6475aef964a520eab42ae3,7.1
10,5226562611d2cd49d83ef03b,6.6
11,4bf96c435317a593a23a017f,6.2
12,4bc75a3c6501c9b630433e29,6.2
13,5246febc498e78d2103563a0,0.0
14,4b50b100f964a520b72d27e3,6.1
15,4b5a2bf2f964a520deb128e3,8.1
16,4cdc8e53d4ecb1f7843c8048,7.2
17,56fdaefd498e27417498764c,7.0
18,4e0150c47d8beaa1649f749f,5.9
19,5cf17e8260255e002c994a7a,0.0
20,4df28ea0e4cda09e6da0129a,7.1
21,4fb5763ee4b0ee4edb40c16e,6.1
22,4d8771f6651041bd5e499b30,6.5
23,5331a799498e3bfbae4a5a04,0.0
24,4ae083d4f964a520d47f21e3,7.6
25,4af5ff72f964a520f6ff21e3,7.0
26,5650fa8e498e405c38a5e6d4,6.4
27,5952e5ed491be7022cf5d19f,6.3
28,4c8ff7f5de3d236a27d86718,6.0
29,4ae1aee0f964a520be8621e3,6.0
30,4c16833b96040f4707f672a5,5.9
31,4c7ab7d6a8683704868a144d,5.7
32,4bc0aa02b492d13aa198a460,0.0
33,5a3e976abb8d36354ebea1f3,0.0
34,5c0b67f025ecca002c02ed96,0.0
35,4be1b4df8c2bc9b6e4c0420b,0.0
36,5a036eaf588e3631c784b5ba,0.0
37,4c8d0dd555fba09324db64ab,0.0
38,4bd396d041b9ef3b799c00e6,6.6
39,5404d153498ebbc7332f3e4e,0.0
40,5a02789d0a464d3112a58785,8.3
41,5077025ce4b05aefca37d9f9,7.1
42,5ab5accd6bd36b087487be93,6.8
43,4b832e14f964a5200dfc30e3,6.5
44,4b315d90f964a520840525e3,6.5
45,537befcc498edb1da559269b,6.5
46,4bb628fbef159c74e18075f7,6.5
47,544ad69a498eeb86b7a4a8d0,6.2
48,4b4779f0f964a520543326e3,6.1
49,4b71af68f964a5200f562de3,5.5
50,4bce030968f976b04e446583,0.0
51,4b0aed06f964a520202a23e3,8.1
52,4b639286f964a5203c842ae3,6.8
53,4bdaff7463c5c9b67bcb2568,7.8
54,4b6315b6f964a520d6612ae3,7.1
55,4b046a62f964a520035422e3,6.2
56,5686b77338faf7478eb6c6aa,6.1
57,4b632004f964a520d6642ae3,5.8
58,52fd7d28498e9164b5ba53a2,5.5
59,4b65c410f964a52050fe2ae3,7.5
60,4bc3acbdabf495210a22c493,7.3
61,4c9fd84e542b224b3f2701a0,6.2
62,4d6ee5fa38a588bfbed306e1,0.0
63,4b9fe242f964a520614737e3,7.4
64,4f3ecce6e4b0587016b6f30d,6.6
65,4dbc53541e72b351caafda72,0.0
66,53c95181498ec1d30073384e,7.3
67,530feb6b498e4958420dc8de,7.2
68,505e36d3e4b00e0d6e496b29,5.6
69,4daf08e66e81e2dffdd4fe40,7.5
70,4bed9f2fbac3c9b6ad93fee9,6.3
71,5d30009ce299c90008a9820d,6.4
72,4b564423f964a520520828e3,5.9
73,4bce4183ef10952197da8386,8.5
74,4e3dbb5e45dd68e3273e03b7,8.7
75,4afdfadff964a520a52c22e3,8.1
76,4ae29e2af964a520338f21e3,8.0
77,4af4e0d0f964a5202ff721e3,8.3
78,5916090a69e77b035ceb1a86,7.9
79,4ad4c05ff964a52042f720e3,7.5
80,4afc9333f964a5200c2422e3,7.3
81,4aeb268bf964a52006bf21e3,7.5
82,4b64ce4af964a52084d12ae3,7.5
83,5b959e520a08ab002cf31875,7.1
84,4c1d5337eac020a1cb1048c2,7.1
85,4bbe3c929474c9b6d54cd9b6,7.2
86,5269ba3c498ea63de3eb987b,7.7
87,4cec56edb80da09371e51b00,6.9
88,4af6e7a0f964a520060422e3,7.1
89,4d28fa67ebacb1f7f37ff64f,6.9
90,4c1169396e5dc9b61b10b02d,7.8
91,4fd52f42e4b0b916eb02ab1b,7.4
92,4ba0153bf964a520995837e3,7.1
93,4b1b0a31f964a520ebf623e3,6.2
94,4d9620afb188721e907bef36,5.5
95,4afef85ff964a5204a3222e3,8.1
96,4b1169f6f964a520177c23e3,7.8
97,53c4629f498ef9114ca25be3,7.5
98,5ba55b9ae0c0c9002c29d056,7.4
99,53aa1f88498e13bffd98b62e,7.5
100,519d414a498e6cc21f677ff4,8.4
101,57812342cd10afc6f76161db,6.8
102,529921fa11d2ec80b7868277,7.4
103,515f21e5e4b03c1e772c36c7,7.5
104,5738efd3498ef5d2444c477e,7.3
105,4aec79e5f964a5209fc721e3,6.7
106,5d3000908fe07d00081e8b8b,6.5
107,4d1bd9c5c68aa1cd4cfc9de2,0.0
108,5169d445e4b07de190b5c3d6,8.1
109,4b939d18f964a520454a34e3,7.6
110,4b258fcef964a520d37324e3,7.3
111,4bd4b2546798ef3bb235628d,7.3
112,4b71edddf964a520cb642de3,7.2
113,4dcda6b7e4cd130e16534f51,7.1
114,4da5f6cef7b16ce044af5212,7.3
